danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,class
0.8120,0.8340,6.0000,-7.7220,1.0000,0.0375,0.0663,0.0004,0.1150,0.8170,106.4250,196880.0000,0
0.4490,0.9790,11.0000,-9.2070,0.0000,0.0590,0.0122,0.0000,0.4150,0.5580,185.3270,51853.0000,0
0.8560,0.3790,8.0000,-8.3430,1.0000,0.1870,0.4720,0.0000,0.1750,0.6160,90.0050,183920.0000,0
0.7270,0.8320,2.0000,-5.8510,1.0000,0.0500,0.1640,0.0000,0.1050,0.8220,131.7030,194120.0000,0
0.5240,0.7280,0.0000,-9.9650,1.0000,0.0269,0.0043,0.1240,0.3690,0.7260,137.4790,181920.0000,0
0.5910,0.8660,8.0000,-6.0110,1.0000,0.0314,0.0075,0.2700,0.1040,0.5600,135.0010,335933.0000,0
0.5800,0.7460,10.0000,-5.7040,1.0000,0.0400,0.0095,0.0001,0.1100,0.5480,97.0080,201953.0000,0
0.3090,0.8690,2.0000,-3.2980,1.0000,0.0771,0.0136,0.0000,0.0454,0.4540,111.6140,257076.0000,0
0.6950,0.8690,8.0000,-5.0660,1.0000,0.0483,0.4100,0.0000,0.2370,0.5800,124.9890,234507.0000,0
0.7640,0.7530,0.0000,-3.9640,1.0000,0.0779,0.3080,0.0000,0.1180,0.7140,95.1090,270187.0000,0
0.8530,0.8760,1.0000,-3.4150,1.0000,0.1310,0.0426,0.0020,0.0548,0.8450,99.2360,246667.0000,0
0.6620,0.9360,4.0000,-4.9020,1.0000,0.0563,0.1550,0.0000,0.0728,0.9630,108.0340,251472.0000,0
0.6510,0.5730,2.0000,-7.7740,1.0000,0.0432,0.0023,0.0000,0.1210,0.0864,76.5160,145169.0000,0
0.6480,0.6350,1.0000,-8.9100,1.0000,0.0319,0.0034,0.3730,0.1520,0.7410,106.0630,340200.0000,0
0.8750,0.7850,1.0000,-5.9330,0.0000,0.0485,0.0031,0.0057,0.0749,0.2830,116.3690,516760.0000,0
0.6090,0.7940,8.0000,-5.1530,0.0000,0.0581,0.4960,0.0000,0.1580,0.4420,127.9230,219375.0000,0
0.8250,0.7250,6.0000,-4.1450,1.0000,0.2040,0.0852,0.0000,0.2510,0.7040,89.8720,277867.0000,0
0.3410,0.9470,5.0000,-8.8010,1.0000,0.0508,0.0001,0.0007,0.1180,0.5940,181.0620,217907.0000,0
0.7380,0.5400,6.0000,-9.1420,0.0000,0.0515,0.0976,0.0000,0.0830,0.6650,102.0100,196471.0000,0
0.6990,0.6610,7.0000,-14.0500,1.0000,0.0623,0.0187,0.0006,0.1900,0.6660,119.9970,246933.0000,0
0.6580,0.8700,5.0000,-3.0190,1.0000,0.0955,0.0275,0.0000,0.6560,0.7910,91.6470,348000.0000,0
